isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
0;89;0;1;38;1492
1;60;4;0;19;820
0;66;0;0;24;1162
0;97;3;0;30;2424
1;64;4;0;20;1373
0;78;0;1;30;1433
1;28;4;0;11;792
0;133;0;3;45;2536
1;35;4;0;14;755
0;74;0;3;34;1623
0;40;1;1;12;762
1;49;4;0;18;1018
0;70;0;3;28;1203
0;66;3;0;19;1124
1;82;4;0;29;1633
0;73;0;3;23;1593
0;35;1;2;12;881
1;46;4;0;17;834
0;34;0;0;13;530
1;30;4;0;14;757
0;58;0;1;20;1249
1;54;4;0;17;1157
0;61;0;0;22;1223
1;63;4;0;18;1062
0;59;0;3;20;1057
1;51;4;0;12;922
0;103;0;3;38;1686
1;74;4;0;29;1398
0;94;0;1;39;1715
1;87;4;0;29;1678
0;63;0;1;20;1050
0;42;2;1;14;625
1;96;4;0;31;1567
0;82;0;1;35;1258
1;37;4;0;12;711
0;87;0;0;32;1770
0;29;3;0;10;680
0;47;3;0;19;1053
0;43;1;2;15;728
1;81;4;0;25;1501
0;91;0;2;30;1803
0;56;3;0;17;1050
1;51;4;0;11;987
0;65;0;2;29;1128
0;37;1;2;16;700
1;64;4;0;15;1109
0;87;0;3;32;1566
0;43;3;0;14;980
1;29;4;0;9;500
0;53;0;1;17;821
1;32;4;0;8;684
0;79;0;3;26;1374
1;50;4;0;17;817
0;66;0;1;25;1013
1;64;4;0;16;1248
0;60;0;3;17;1198
0;38;3;0;12;647
1;39;4;0;10;612
0;81;0;0;32;1573
0;51;3;0;22;1214
1;50;4;0;14;872
0;41;0;2;17;818
1;49;4;0;11;798
0;83;0;0;31;1533
1;51;4;0;14;1167
0;52;0;1;21;1442
0;60;3;0;24;1108
0;57;3;0;19;1271
1;46;4;0;14;906
0;59;0;3;21;889
1;32;4;0;11;665
0;61;0;2;27;1567
0;48;3;0;15;866
1;43;4;0;13;950
0;67;0;1;18;984
1;69;4;0;25;1101
0;61;0;0;29;1543
0;49;3;0;15;1010
0;63;3;0;23;1701
1;35;4;0;10;443
0;48;0;2;13;949
1;61;4;0;20;1255
0;60;0;3;18;1149
1;20;4;0;7;554
0;59;0;2;26;939
0;57;3;0;21;1153
1;53;4;0;15;1162
0;94;0;2;31;1802
1;25;4;0;7;407
0;93;0;3;34;1900
1;32;4;0;9;693
0;68;0;3;24;1184
1;48;4;0;14;992
0;55;0;3;21;1074
0;74;3;0;21;1282
1;73;4;0;25;1484
0;45;0;1;18;902
1;78;4;0;19;1196
0;72;0;2;27;1251
1;50;4;0;12;758
0;106;0;2;39;2283
0;67;3;0;30;1431
1;53;4;0;16;757
0;56;0;3;21;1192
0;51;2;0;17;782
1;36;4;0;10;571
0;43;0;1;18;906
0;43;1;1;10;638
1;43;4;0;10;608
0;55;0;2;25;1169
0;40;2;1;12;680
0;90;3;0;29;1746
1;77;4;0;26;1542
0;94;0;2;29;1451
1;25;4;0;4;390
0;46;0;2;18;760
1;60;4;0;19;1452
0;107;0;2;34;1663
0;58;2;1;18;971
1;52;4;0;16;930
0;71;0;1;20;1120
1;33;4;0;11;649
0;74;0;1;21;1245
0;40;2;0;15;729
0;74;3;0;19;1249
1;66;4;0;15;1164
0;51;0;1;19;828
0;77;3;0;23;1536
1;45;4;0;11;869
0;105;0;3;37;1720
1;61;4;0;18;1332
0;100;0;0;34;1686
1;34;4;0;9;623
0;89;0;2;31;1580
1;40;4;0;10;683
0;60;0;1;26;1028
0;59;1;2;24;1139
0;48;2;1;15;895
1;66;4;0;18;1088
0;43;0;1;16;798
0;75;3;0;24;1170
1;70;4;0;25;1483
0;117;0;2;38;1871
1;50;4;0;17;1039
0;92;0;3;35;1588
0;100;3;0;35;1737
0;45;2;1;14;772
1;34;4;0;10;697
0;35;0;3;12;685
1;33;4;0;7;636
0;95;0;0;39;1685
0;52;2;1;14;1244
1;26;4;0;7;406
0;62;0;2;27;1289
0;49;3;0;15;1065
0;56;3;0;18;878
0;47;2;1;15;824
1;49;4;0;10;746
0;53;0;2;20;1062
1;57;4;0;12;892
0;67;0;3;27;1209
1;44;4;0;14;864
0;40;0;0;16;838
1;60;4;0;17;1097
0;39;0;0;19;1006
0;69;3;0;24;1363
1;55;4;0;16;1002
0;43;0;3;15;819
1;82;4;0;21;1524
0;153;0;3;50;2486
1;40;4;0;9;682
0;56;0;1;20;1007
0;63;3;0;22;1328
1;56;4;0;15;1161
0;61;0;1;27;1188
1;58;4;0;14;1032
0;104;0;3;43;2064
1;22;4;0;6;396
0;74;0;3;25;1301
0;41;3;0;12;597
0;75;3;0;23;1756
0;68;1;2;26;1197
0;11;0;2;6;339
0;55;3;0;18;1292
1;53;4;0;17;1039
0;33;0;2;15;905
1;88;4;0;29;1380
0;64;0;1;26;1372
1;29;4;0;8;702
0;101;0;3;42;1607
0;67;2;1;20;1198
1;67;4;0;21;1155
0;174;0;0;59;3027
1;48;4;0;13;717
0;40;0;2;16;967
1;54;4;0;14;1361
0;83;0;2;32;1682
1;70;4;0;24;1441
0;105;0;0;46;2162
1;73;4;0;25;1412
0;78;0;2;23;1241
1;40;4;0;7;565
0;70;0;2;23;1156
0;55;3;0;17;917
0;75;3;0;24;1632
1;25;4;0;7;530
0;70;0;1;23;1147
0;83;3;0;28;1771
1;79;4;0;27;1340
0;48;0;0;14;730
1;63;4;0;16;1172
0;49;0;2;19;1044
1;40;4;0;14;809
0;63;0;2;19;1160
1;79;4;0;29;1369
0;135;0;1;48;2076
1;45;4;0;12;718
0;120;0;1;49;2407
1;46;4;0;15;701
0;43;0;1;16;824
1;37;4;0;11;849
0;109;0;1;34;1853
0;80;3;0;32;1396
0;81;1;2;26;1437
0;69;3;0;25;1367
1;48;4;0;15;827
0;99;0;2;36;2164
1;66;4;0;24;1046
0;80;0;1;30;1513
0;61;3;0;23;1173
1;32;4;0;8;588
0;55;0;3;18;991
1;55;4;0;17;891
0;91;0;2;37;1725
1;41;4;0;14;780
0;66;0;2;36;1532
1;58;4;0;21;1079
0;90;0;2;31;1809
1;42;4;0;14;697
0;58;0;2;22;1145
0;53;3;0;17;1057
0;70;3;0;21;1136
0;29;0;2;8;669
0;74;3;0;25;1449
1;42;4;0;14;822
0;93;0;2;35;1469
0;33;2;0;9;530
1;65;4;0;15;1036
0;91;0;1;31;1760
1;48;4;0;13;785
0;48;0;1;22;1211
1;51;4;0;12;738
0;55;0;0;26;1088
0;58;2;0;23;959
0;44;3;0;17;1097
1;47;4;0;13;821
0;77;0;3;25;1559
1;41;4;0;13;581
0;73;0;2;31;1241
0;68;2;1;18;1163
0;43;3;0;17;837
1;66;4;0;19;1827
0;22;0;2;11;604
1;51;4;0;15;1060
0;39;0;2;16;782
0;86;3;0;28;1612
0;38;2;1;14;750
0;76;2;1;21;1339
1;46;4;0;15;789
0;71;0;1;27;1236
0;52;3;0;15;686
1;38;4;0;12;648
0;25;0;1;11;507
1;55;4;0;15;1107
0;71;0;2;25;1426
1;53;4;0;18;1254
0;71;0;2;26;1310
1;31;4;0;8;409
0;37;0;1;17;726
1;46;4;0;13;806
0;92;0;1;34;1603
0;46;2;1;14;1103
1;52;4;0;14;859
0;50;0;3;22;1006
1;49;4;0;17;808
0;68;0;1;21;1197
0;58;3;0;13;1102
1;55;4;0;16;884
0;91;0;0;34;1571
1;40;4;0;11;615
0;50;0;1;23;1023
0;50;3;0;18;931
1;47;4;0;17;957
0;91;0;1;34;1416
0;70;3;0;23;1281
0;64;3;0;21;1139
1;34;4;0;9;703
