isWon;countHitChances;countComingOut;turnCount;1;2;3;4;5;6
0;44;22;817;13;0;11;75;0;0
1;28;10;457;13;0;10;75;0;0
0;56;29;680;6;0;14;79;0;0
0;36;16;708;34;0;9;55;0;0
1;30;10;553;21;1;8;68;0;0
0;75;42;1470;19;0;9;70;0;0
1;70;29;1093;31;0;10;58;0;0
0;50;20;753;21;0;13;65;0;0
1;62;16;767;14;2;13;70;0;0
0;48;20;678;12;0;13;73;0;0
0;32;13;582;42;0;11;45;0;0
1;43;14;548;10;0;16;72;0;0
0;66;33;875;18;0;14;66;0;0
1;69;28;901;15;0;14;69;0;0
0;42;23;712;7;0;11;79;0;0
0;43;24;698;8;0;12;79;0;0
1;36;13;624;16;2;11;70;0;0
0;47;23;703;17;0;13;67;0;0
1;60;26;902;25;0;12;61;0;0
0;45;24;702;24;1;10;63;0;0
1;68;32;1133;24;0;13;62;0;0
0;97;39;1119;10;1;14;73;0;0
1;81;31;1101;10;0;15;73;0;0
0;42;22;871;34;0;9;55;0;0
1;35;15;599;28;0;12;58;0;0
0;90;42;1223;11;0;17;71;0;0
0;66;33;986;36;0;13;50;0;0
0;45;21;660;18;0;12;68;0;0
1;47;20;942;33;0;8;57;0;0
0;21;13;392;22;0;10;67;0;0
1;61;25;650;17;1;14;67;0;0
0;80;36;1088;16;0;15;67;0;0
1;52;17;990;19;0;16;63;0;0
0;52;20;684;21;1;16;60;0;0
0;51;15;498;15;0;16;67;0;0
0;39;15;649;26;0;10;61;0;0
0;49;19;722;26;0;10;61;0;0
